000928.0+011438.6|0001 00293 1|7.4
000852.2+004132.8|0001 00680 1|7.5
000247.2+020748.5|0001 00903 1|7.4
001803.6+003659.9|0002 00709 1|7.3
001916.6+003114.1|0002 00957 1|7.9
001436.6+011748.6|0002 00960 1|7.1
001040.7+020319.9|0002 01064 1|7.6
001728.8+001916.4|0002 01127 1|7.9
001639.4+015102.2|0002 01154 1|7.2
001957.1+013457.2|0002 01237 1|7.7
001347.6+012300.9|0002 01558 1|6.9
001747.7+014119.4|0002 01641 1|6.3
002417.3+013322.1|0003 01102 1|7.8
002524.2+015622.9|0003 01464 1|5.9
000023.5+024031.7|0004 00019 1|7.8
000340.1+035425.1|0004 00582 1|7.9
000522.2+033621.9|0004 00586 1|7.0
000955.0+044957.0|0004 00588 1|7.9
001105.6+040759.1|0005 00436 1|7.5
001557.3+041504.0|0005 00548 1|7.1
001807.9+034748.4|0005 00788 1|7.2
002021.6+044644.4|0006 00651 1|7.8
002338.5+024434.9|0006 01069 1|7.8
002009.5+030200.8|0006 01105 1|7.8
002720.3+024850.8|0006 01198 1|7.3
002616.5+034932.7|0006 01362 1|6.9
000704.1+065232.0|0007 00200 1|7.5
000123.2+064729.3|0007 00323 1|7.3
000825.7+063700.5|0007 00632 1|7.7
001538.6+055037.8|0008 00542 1|7.1
002005.1+061733.5|0009 00007 1|7.0
002618.3+060539.8|0009 00272 1|7.9
004554.6+003445.9|0011 00529 1|7.8
004202.3+010125.1|0011 00723 1|7.9
004206.7+010348.4|0011 01174 1|8.0
004134.0+014452.6|0011 01228 1|7.9
004511.0+001511.8|0011 01301 1|7.1
005713.0+002032.4|0012 00547 1|7.8
005739.7+014708.2|0012 00754 1|7.1
005923.3+004643.6|0012 01234 1|7.8
003946.9+033909.6|0013 00900 1|7.8
003528.6+041740.8|0013 00974 1|7.7
003354.2+031911.6|0013 01304 1|7.6
003730.5+030807.3|0013 01406 1|6.6
003800.6+024549.2|0013 01409 1|7.8
003913.3+030802.2|0013 01473 1|7.4
003008.7+045136.4|0013 01547 1|6.6
004455.3+031203.6|0014 00338 1|8.0
004223.2+040959.6|0014 00641 1|7.9
004323.6+023502.7|0014 01103 1|7.9
005104.4+024436.8|0015 00073 1|7.7
005842.4+041220.9|0015 00878 1|7.6
005319.5+040510.4|0015 00958 1|7.2
005156.3+040337.1|0015 00984 1|7.9
005118.3+032306.1|0015 01194 1|6.5
003603.7+070921.5|0016 00392 1|7.8
003408.3+055728.4|0016 00724 1|7.7
003223.8+065719.7|0016 01423 1|5.7
004232.8+054031.3|0017 00302 1|7.7
004605.8+060524.7|0017 01041 1|7.8
004939.9+062425.7|0017 01084 1|7.7
004723.6+064427.4|0017 01353 1|6.1
004823.0+051650.3|0017 01398 1|5.8
004817.4+071759.7|0017 01413 1|6.0
005819.5+065039.5|0018 00018 1|6.8
005949.7+062859.6|0018 00040 1|6.3
005519.6+065115.3|0018 00698 1|7.5
010443.6+021849.4|0019 00995 1|7.3
010759.7+015935.0|0019 01406 1|6.5
010349.0+012200.6|0019 01437 1|6.1
011719.5+015028.5|0020 00197 1|7.7
011709.8+020055.0|0020 00595 1|7.4
011535.6+005444.8|0020 00628 1|6.7
011033.6+022644.4|0020 01166 1|6.1
011230.6+022817.7|0020 01220 1|6.6
012237.0+014334.8|0021 00119 1|6.4
012520.1+012739.1|0021 01171 1|7.5
010159.7+023133.5|0022 00035 1|7.6
010005.6+023758.7|0022 00040 1|7.8
010605.8+031628.8|0022 00250 1|7.4
010050.7+045002.2|0022 00641 1|7.8
010541.9+041154.7|0022 00812 1|7.4
010549.2+045430.1|0022 01278 1|6.4
010551.4+045433.8|0022 01354 1|7.3
011924.3+031722.9|0023 00018 1|7.6
011636.0+024405.5|0023 00061 1|7.6
011815.4+023302.2|0023 00173 1|7.6
011852.4+043913.6|0023 00461 1|7.7
011720.4+043953.3|0023 00999 1|7.9
011748.0+033652.1|0023 01341 1|5.1
012454.6+032057.9|0024 00400 1|7.4
012243.5+044417.7|0024 00917 1|7.0
012716.6+034819.4|0024 01071 1|7.8
012653.6+033208.3|0024 01159 1|6.7
012540.7+025819.4|0024 01193 1|7.0
010347.2+064553.4|0025 00142 1|7.1
010139.6+071819.1|0025 00171 1|7.8
010450.4+070245.4|0025 00526 1|8.0
010340.7+051407.5|0025 01084 1|7.8
010452.6+053922.5|0025 01372 1|6.2
011735.6+055303.4|0026 00182 1|7.8
011533.4+065722.2|0026 00255 1|7.8
011351.6+050830.6|0026 00550 1|7.7
011442.4+065942.5|0026 01202 1|6.1
012903.1+071738.7|0027 00117 1|6.6
012256.8+072509.3|0027 00157 1|7.4
012223.4+051505.0|0027 00422 1|7.5
012246.9+062555.5|0027 00801 1|8.0
012739.8+052110.0|0027 01246 1|7.1
013925.1+003643.7|0028 00700 1|7.7
013448.9+005641.2|0028 01244 1|7.0
014721.7+004844.0|0029 00202 1|7.9
014900.3+011953.5|0029 00333 1|7.4
014210.4+021828.9|0029 00533 1|7.5
014735.9+000918.8|0029 00983 1|7.9
015238.4+022953.8|0030 01209 1|7.6
015553.8+015059.6|0030 01344 1|6.8
015553.8+015059.6|0030 01344 2|6.8
013819.9+023509.9|0031 00142 1|7.1
013214.9+034106.6|0031 00683 1|7.6
014505.0+023011.3|0032 00065 1|7.3
014436.0+031325.4|0032 00067 1|6.9
014153.1+024215.8|0032 00383 1|7.9
014359.0+045945.0|0032 00555 1|8.0
014826.0+034107.6|0032 00773 1|6.0
014543.8+034002.0|0032 00976 1|7.0
014555.0+032503.2|0032 01160 1|6.9
015448.3+032337.5|0033 01190 1|7.8
015333.3+031115.1|0033 01213 1|4.7
013641.3+064304.9|0034 00393 1|7.2
013011.1+060837.8|0034 01287 1|5.0
014956.0+071324.7|0035 00223 1|7.5
014125.9+052915.4|0035 00435 1|4.6
014338.5+054443.8|0035 00814 1|7.7
015056.4+060024.3|0036 00013 1|7.8
015518.4+062613.9|0036 00584 1|7.6
015958.4+060207.8|0036 01321 1|6.9
020648.3+012631.6|0037 00286 1|7.2
020246.7+015617.7|0037 00427 1|7.7
020311.7+000742.6|0037 01318 1|5.4
020629.3+000207.4|0037 01319 1|6.4
021628.4+021417.3|0038 01166 1|7.4
021509.6+004312.6|0038 01270 1|6.8
021437.0+014039.3|0038 01283 1|7.3
021713.5+015137.5|0038 01324 1|7.3
021801.4+014528.1|0038 01343 1|5.7
022149.0+005812.1|0039 00343 1|7.4
022759.9+015739.2|0039 01123 1|6.6
022156.6+002344.4|0039 01275 1|5.5
020940.0+041358.0|0040 00718 1|7.4
020021.8+042322.2|0040 00885 1|7.2
020951.4+034609.6|0040 01162 1|6.8
020301.7+032131.0|0040 01286 1|6.9
020009.2+030549.3|0040 01337 1|5.9
020202.8+024549.5|0040 01338 1|4.1
020202.8+024549.5|0040 01338 2|5.2
021919.5+023952.8|0041 00242 1|7.7
021928.7+024913.3|0041 00384 1|7.4
021650.4+023434.3|0041 00393 1|7.7
021910.3+033212.6|0041 00415 1|7.6
021840.9+041145.9|0041 01124 1|7.8
021143.4+032709.8|0041 01221 1|6.7
021215.8+024444.0|0041 01255 1|6.6
022844.7+033422.0|0042 01252 1|7.9
020922.3+055910.3|0043 00036 1|7.0
020548.5+070142.3|0043 00275 1|6.8
020012.7+065504.9|0043 00397 1|7.6
020739.1+053734.7|0043 00568 1|7.7
020555.0+064039.1|0043 00695 1|7.8
020747.2+055905.4|0043 01044 1|7.2
021032.4+060555.8|0044 00602 1|7.4
021432.5+063903.8|0044 00877 1|7.2
021329.8+050045.8|0044 01246 1|6.5
022616.2+061733.2|0045 00990 1|6.8
023453.0+011442.2|0046 00366 1|7.9
023242.1+010201.3|0046 00485 1|7.3
023129.9+010539.2|0046 00690 1|7.5
023709.6+022455.7|0046 00965 1|7.3
023951.8+000846.6|0046 01377 1|7.9
023130.1+021601.9|0046 01631 1|5.4
023129.3+010528.9|0046 01632 1|7.6
023045.2+001520.7|0046 01634 1|6.0
024937.9+005515.5|0047 00258 1|6.9
024739.9+014219.4|0047 00435 1|7.9
024159.0+003301.3|0047 00690 1|7.6
024033.6+015158.7|0047 00743 1|7.7
024130.3+003245.7|0047 00857 1|6.8
024727.0+010333.8|0047 00914 1|8.0
024318.5+014348.5|0047 01140 1|8.0
025129.5+000511.0|0048 00164 1|7.8
025120.4+021022.1|0048 00224 1|7.2
025338.2+015809.5|0048 00271 1|6.8
025514.0+002612.4|0048 00529 1|7.2
025020.3+005749.9|0048 00633 1|7.7
025837.4+020714.0|0048 00790 1|7.7
025925.9+013904.4|0048 00953 1|7.9
025715.0+015314.3|0048 01066 1|7.7
025531.6+020105.8|0048 01600 1|6.6
025710.4+002652.1|0048 01697 1|6.7
023131.5+032619.9|0049 01514 1|7.5
023836.8+032635.5|0049 01674 1|6.3
024047.3+025354.5|0050 00054 1|7.2
024349.8+024902.0|0050 00299 1|7.8
024056.6+045214.6|0050 00606 1|7.4
024121.6+042540.1|0050 00615 1|7.0
024520.9+044241.9|0050 01208 1|6.1
025120.8+030324.5|0051 00070 1|7.4
025508.2+032912.7|0051 00376 1|6.9
025614.1+040254.4|0051 00557 1|7.7
025704.6+043003.7|0051 00704 1|6.4
025709.6+034043.3|0051 00927 1|7.6
023259.8+065722.7|0052 00357 1|8.0
023212.2+064302.3|0052 00449 1|7.7
023327.8+054200.6|0052 01092 1|7.8
023602.6+062556.7|0052 01490 1|7.0
023504.1+072815.6|0052 01494 1|6.3
023552.5+053535.7|0052 01681 1|5.0
024107.8+060420.2|0053 00303 1|7.1
024015.7+060643.0|0053 00623 1|6.3
024432.6+053928.0|0053 00840 1|7.8
024614.6+053533.3|0053 01184 1|7.9
025239.5+062829.7|0054 00012 2|7.9
025922.4+063907.8|0054 00174 1|7.9
025129.3+055030.5|0054 00884 1|7.9
025604.2+061029.9|0054 00954 1|7.4
025412.5+050253.9|0054 01106 1|7.6
030125.5+010922.2|0055 00502 1|7.4
030951.5+012903.5|0055 00524 1|7.7
030310.6+012205.4|0055 00561 1|7.9
030739.8+012421.5|0055 01263 1|7.3
030017.4+005813.4|0055 01280 1|7.9
030438.1+015149.0|0055 01908 1|6.2
031711.9+013329.0|0056 00029 1|7.8
031944.9+011156.4|0056 00775 1|7.4
031035.9+001245.0|0056 01151 1|7.3
031202.1+000627.6|0056 01196 1|7.1
031055.4+021857.0|0056 01281 1|6.9
032649.2+000134.2|0057 00126 1|7.2
032001.8+012901.1|0057 00915 1|6.8
032713.8+021648.6|0057 01373 1|7.4
032336.3+005436.3|0057 01438 1|6.6
030222.5+042110.4|0058 00607 1|5.6
030622.5+034836.4|0058 00611 1|7.8
030956.9+030339.5|0058 01139 1|7.5
030647.1+024252.0|0058 01334 1|8.0
030216.8+040523.1|0058 01618 1|2.7
031806.5+045809.9|0059 00607 1|8.0
031745.3+034053.2|0059 01374 1|7.9
031921.7+032212.7|0059 01947 1|4.9
032205.1+041238.1|0060 00509 1|7.6
032339.0+045255.6|0060 00524 1|6.5
032843.0+042125.6|0060 00797 1|7.7
032903.8+031455.3|0060 01626 1|6.5
032106.8+034032.2|0060 01705 1|5.8
030910.5+072737.5|0061 00025 1|7.7
030912.1+072620.0|0061 00063 1|7.8
030824.9+064324.5|0061 00127 1|7.8
030350.8+060759.9|0061 00481 1|7.0
030328.2+061336.1|0061 00831 1|6.8
030538.5+060702.8|0061 00983 1|7.8
030239.9+051117.5|0061 00996 1|7.4
030152.3+052010.1|0061 01021 1|6.4
031709.0+064759.6|0062 00371 1|7.0
031110.2+071026.5|0062 00551 1|7.9
031226.4+063939.2|0062 01579 1|5.7
032544.3+055607.6|0063 01415 1|7.7
032731.9+055213.6|0063 01457 1|7.3
033750.4+000827.9|0064 00980 1|7.3
033738.4+010721.1|0064 01389 1|7.5
033647.3+003515.9|0064 01568 1|6.0
033652.4+002406.0|0064 01569 1|4.4
034839.0+001340.3|0065 00985 1|6.0
034553.5+001321.7|0065 01152 1|7.6
035821.2+012645.1|0066 00040 1|7.8
035247.7+014452.3|0066 00381 1|7.8
035442.5+020523.9|0066 00534 1|6.9
035103.8+014329.8|0066 00943 1|7.8
035041.9+013350.2|0066 01108 1|6.7
035941.6+014741.3|0066 01154 1|7.3
035330.2+020708.9|0066 01215 1|6.7
033238.7+030859.8|0067 00233 1|8.0
033842.9+024340.3|0067 00347 1|7.9
033855.1+024548.6|0067 00769 1|7.2
033413.6+032556.2|0067 01056 1|7.6
033749.9+040843.7|0067 01727 1|7.3
033951.1+030324.7|0067 01753 1|5.7
034534.6+031423.0|0068 00075 1|7.9
034104.9+025701.3|0068 00128 1|8.0
034502.7+023716.6|0068 01180 1|6.7
035637.8+030328.4|0069 00014 1|7.1
033101.4+071153.9|0070 00076 1|7.7
033047.7+050909.5|0070 00108 1|7.6
033044.7+053047.1|0070 00204 1|7.7
033047.0+052201.3|0070 00305 1|7.1
033510.2+054250.4|0070 00586 1|7.5
033752.5+053828.8|0070 01024 1|7.8
033251.1+051516.5|0070 01050 1|7.4
033344.8+065533.6|0070 01333 1|7.3
033449.1+062503.7|0070 01334 1|6.6
033045.4+061119.3|0070 01335 1|6.0
034625.3+071439.4|0071 01220 1|7.8
034544.0+071119.9|0071 01221 1|7.2
034609.4+064812.7|0071 01223 1|6.0
034540.4+060260.0|0071 01224 1|5.3
034028.0+050733.2|0071 01225 1|6.8
035636.1+064238.0|0072 00031 1|7.9
035823.4+072825.8|0072 00192 1|7.7
035701.7+060223.9|0072 00232 1|6.1
035744.6+054419.6|0072 00339 1|7.9
035427.2+051028.6|0072 01040 1|7.5
035008.9+063714.5|0072 01225 1|7.8
035200.2+063205.4|0072 01226 1|5.8
040641.5+014102.1|0073 00264 1|7.9
040909.1+001044.3|0073 00698 1|7.7
040841.9+004658.8|0073 00747 1|8.0
041858.9+014501.5|0074 00115 1|7.8
041256.3+015525.3|0074 00231 1|7.5
041833.8+022813.9|0074 00407 1|7.6
041425.1+013933.4|0074 00437 1|7.5
041854.9+014624.5|0074 00487 1|7.9
041109.4+021906.2|0074 00519 1|7.2
041426.9+021410.7|0074 00701 1|7.9
041537.9+000014.3|0074 01170 1|7.9
041209.3+004408.1|0074 01190 1|6.7
041601.4+002713.9|0074 01468 1|7.4
042146.3+022324.4|0075 00073 1|7.0
042426.6+022926.9|0075 00095 1|7.8
042049.8+000434.4|0075 00546 1|7.7
042104.7+011139.8|0075 01339 1|7.8
042113.1+005149.5|0075 01665 1|7.9
042556.2+010154.4|0075 02649 1|7.4
042700.7+020445.9|0075 02833 1|6.3
042803.6+015130.9|0075 02834 1|6.3
042832.1+012251.0|0075 02835 1|5.5
040321.2+031116.2|0076 00117 1|7.3
040319.0+030439.7|0076 00228 1|7.2
040402.1+035026.4|0076 00395 1|8.0
040943.0+031921.7|0076 00587 1|6.5
040229.2+035050.0|0076 00723 1|6.9
040409.9+024937.0|0076 01563 1|5.4
041717.4+023146.9|0077 00021 1|7.3
041655.0+043233.7|0077 00447 1|7.9
041506.8+031447.4|0077 00518 1|7.5
041832.3+045707.0|0077 00740 1|8.0
041508.6+035726.6|0077 00996 1|7.7
041527.1+040033.8|0077 01057 1|7.4
042257.8+025358.7|0078 00466 1|7.6
042601.3+042224.4|0078 00901 1|6.5
040927.2+064330.2|0079 00162 1|6.7
040344.6+052608.2|0079 00826 1|5.3
040309.4+055921.5|0079 01585 1|3.9
041525.8+061158.8|0080 00204 1|7.0
041711.4+050128.5|0080 00814 1|7.0
041243.5+050151.1|0080 00822 1|7.4
041528.8+061112.7|0080 00874 1|6.4
041140.1+051923.0|0080 00986 1|7.9
041120.3+053123.0|0080 01093 1|5.7
041616.5+070934.0|0080 01377 1|7.6
042416.4+071912.5|0081 00165 1|7.8
042722.2+070345.0|0081 00587 1|7.6
042651.0+070541.0|0081 00701 1|7.1
042536.8+053843.2|0081 01447 1|7.2
042557.3+050900.5|0081 01629 1|7.4
042938.9+050951.4|0081 01820 1|7.2
042041.2+060750.9|0081 02311 1|5.9
043726.1+003428.7|0082 00291 1|7.6
043426.8+002425.2|0082 00486 1|7.3
043726.7+003311.2|0082 00594 1|7.6
043224.5+005848.5|0082 01212 1|7.2
043713.7+005953.9|0082 01777 1|5.3
044056.2+005745.8|0083 00267 1|7.9
044442.1+003405.2|0083 01181 1|7.2
044135.9+003336.2|0083 01199 1|7.6
044805.9+004032.8|0084 00557 1|7.5
045215.0+015058.6|0084 00738 1|7.9
045212.3+013033.7|0084 00840 1|7.6
045045.4+010852.0|0084 01782 1|6.7
045328.3+010748.0|0085 00524 1|7.6
045649.6+013115.2|0085 00849 1|8.0
045704.9+001316.4|0085 01182 1|7.9
045817.0+002714.1|0085 01238 1|7.3
045601.0+013730.6|0085 01667 1|6.9
045355.8+013409.7|0085 01752 1|6.6
045832.9+014250.5|0085 02362 1|4.6
045450.7+002801.8|0085 02363 1|5.9
043415.0+034458.8|0086 00724 1|8.0
044257.3+022506.4|0087 00363 1|8.0
044213.7+025924.0|0087 01424 1|7.3
044933.2+021206.3|0088 00131 1|7.7
044839.4+033857.4|0088 01203 1|7.3
045013.2+034100.1|0088 01288 1|7.6
044856.3+034123.0|0088 01301 1|7.0
044616.5+031607.6|0088 01378 1|7.9
044844.6+033518.7|0088 01394 1|6.2
044827.7+024255.2|0088 01790 1|6.6
045614.1+031032.9|0089 00713 1|7.3
045659.3+031709.8|0089 00852 1|7.3
045610.9+020236.7|0089 00952 1|7.7
045657.2+024648.3|0089 01404 1|7.9
045518.5+025747.4|0089 01947 1|7.9
045322.8+023029.6|0089 02557 1|5.5
043204.8+052436.1|0090 00033 1|6.4
043408.3+053407.0|0090 00642 1|5.7
043737.3+045858.0|0091 00322 1|7.7
044556.2+042136.1|0092 00692 1|8.0
045211.2+044133.0|0092 00729 1|7.9
045040.1+041738.1|0092 01059 1|7.8
045112.4+053618.4|0092 02345 1|3.6
045555.9+044013.5|0093 00218 1|7.1
045444.8+044624.7|0093 00280 1|7.9
045558.4+052356.5|0093 00682 1|6.5
043150.4+054552.0|0094 00172 1|6.7
043116.2+072709.5|0094 00247 1|7.9
043108.0+071955.9|0094 00919 1|7.9
043104.1+064728.7|0094 01120 1|7.2
043754.3+071903.5|0095 00098 1|7.0
044717.9+054717.6|0096 00210 1|6.8
045017.3+065659.7|0096 00689 1|7.2
044950.4+065740.6|0096 01462 1|3.2
045341.8+060100.8|0097 00168 1|7.6
050716.8+005927.7|0098 00403 1|7.5
050523.7+011039.5|0098 00619 1|6.3
050200.8+013641.3|0098 02440 1|7.7
050200.0+013631.9|0098 02441 1|6.5
050150.4+004319.6|0098 02442 1|6.1
051141.3+003052.4|0099 00503 1|6.7
051347.3+003337.5|0099 00575 1|6.5
051223.7+000126.6|0099 00843 1|7.7
051237.2+000449.2|0099 00935 1|7.3
050825.6+005616.0|0099 01311 1|7.6
051145.3+010212.5|0099 02884 1|6.3
051145.3+010212.5|0099 02884 2|7.4
051822.5+003535.2|0100 00617 1|7.8
051611.4+014525.1|0100 01558 1|7.7
051511.9+013322.1|0100 01653 1|7.4
052845.3+013838.2|0101 00323 1|6.9
052754.2+010618.2|0101 00425 1|7.8
052736.9+010627.3|0101 00438 1|7.7
052842.1+011337.1|0101 00840 1|7.5
052306.1+011722.3|0101 01013 1|7.3
052305.5+010324.7|0101 01077 1|7.7
052825.8+000113.2|0101 02344 1|6.6
052310.1+010822.6|0101 02345 1|8.0
052801.5+011753.7|0101 02377 1|6.4
052547.0+003112.9|0101 02396 1|6.1
052954.8+014721.3|0101 02475 1|5.7
052444.8+015047.2|0101 02568 1|4.8
050106.0+034302.4|0102 00004 1|7.2
050244.6+032727.7|0102 00266 1|7.3
050008.2+031712.0|0102 00451 1|7.6
050226.2+020252.9|0102 01098 1|8.0
050622.9+024023.7|0102 01791 1|7.5
050033.9+033656.8|0102 02639 1|6.6
050032.5+033653.2|0102 02640 1|7.0
050806.4+034454.9|0103 00590 1|7.3
050734.9+022808.9|0103 00676 1|7.6
051325.0+034113.6|0103 01368 1|7.9
050856.2+031307.4|0103 01463 1|6.5
051317.5+025140.5|0103 02863 1|4.6
051331.5+015803.6|0103 02864 1|6.2
051949.0+023049.0|0104 00165 1|7.1
052205.5+033417.9|0104 01829 1|7.6
052043.8+023241.2|0104 02385 1|6.5
052052.2+025543.9|0104 02407 1|6.8
051641.0+015650.4|0104 02960 1|6.4
051911.2+023544.9|0104 03169 1|5.4
052511.4+015524.3|0105 00038 1|7.7
052848.5+020953.0|0105 00304 1|7.1
052350.4+020455.8|0105 00519 1|7.9
052231.6+025859.9|0105 01079 1|7.8
052237.5+023611.4|0105 01212 1|7.9
